eventid,imonth,iday,country,country_txt,region,region_txt,provstate,city,attacktype1_txt,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,gname,weaptype1_txt,weapsubtype1
202101010004,1,1,60,Egypt,10,Middle East & North Africa,North Sinai,Beir al-Abd,Bombing/Explosion,Military,35,Military Transportation/Vehicle (excluding convoys),Egyptian Armed Forces,Vehicle,60,Egypt,Unknown,Explosives,12
202101010005,1,1,92,India,6,South Asia,Jammu and Kashmir,Pampore,Bombing/Explosion,Police,22,"Police Building (headquarters, station, school)",Central Reserve Police Force (CRPF),Camp,92,India,Unknown,Explosives,7
202101010006,1,1,228,Yemen,10,Middle East & North Africa,Al Hudaydah,Hudaydah,Bombing/Explosion,Private Citizens & Property,78,"Procession/Gathering (funeral, wedding, birthday, religious)",Almansour Wedding Hall,Wedding Hall,228,Yemen,Houthi extremists (Ansar Allah),Explosives,11
202101010009,1,1,4,Afghanistan,6,South Asia,Ghor,Feroz Koh,Assassination,Journalists & Media,54,Radio Journalist/Staff/Facility,Sadai Ghor Radio,Editor: Bismillah Adil Aimaq,4,Afghanistan,Unknown,Firearms,5
202101010024,1,2,182,Somalia,11,Sub-Saharan Africa,Lower Juba,Kismayo,Assassination,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Government of Jubaland,Vehicle of Parliament Member: Khalif Hashim Nur,182,Somalia,Al-Shabaab,Explosives,29
202101010025,1,1,92,India,6,South Asia,Jammu and Kashmir,Srinagar,Bombing/Explosion,Police,22,"Police Building (headquarters, station, school)",Sashastra Seema Bal (SSB),Police Camp,92,India,Unknown,Explosives,7
202101020007,1,2,92,India,6,South Asia,Jammu and Kashmir,Tral,Bombing/Explosion,Police,25,Police Security Forces/Officers,Indo-Tibetan Border Police (ITBP),Officers,92,India,Hizbul Mujahideen (HM),Explosives,7
202101020009,1,2,182,Somalia,11,Sub-Saharan Africa,Lower Shebelle,Lafoole,Bombing/Explosion,Police,25,Police Security Forces/Officers,Somali Police Force (SPF),Officers,182,Somalia,Al-Shabaab,Explosives,15
202101020010,1,2,4,Afghanistan,6,South Asia,Badghis,Qala-i-Naw,Armed Assault,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Afghan National Army (ANA),Soldier,4,Afghanistan,Unknown,Firearms,5
202101020021,1,2,200,Syria,10,Middle East & North Africa,Al Hasakah,Hasakah,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,Unknown,City Market,200,Syria,Shabiha of the Coast,Explosives,7
